name,phone,website,address,city,review_count,rating,state
Southern Premier Roofing,(984) 200-3308,https://southernpremierroofing.com/raleigh/,"4060 Barrett Dr, Raleigh, NC 27609, USA",Raleigh,193,4.8,North Carolina
Simple Construction Roofing,(919) 576-9420,https://simpleroofingnc.com/,"3802 Mitchell Mill Rd, Raleigh, NC 27616, USA",Raleigh,145,5,North Carolina
Honour Roofing & Construction,(919) 885-0245,https://www.honourroofing.com/,"312 W Millbrook Rd ST 121, Raleigh, NC 27609, USA",Raleigh,136,5,North Carolina
Modern Roofing,(984) 370-5424,http://modernroofingusa.com/locations/roofer-raleigh-nc/,"1701 Jones Franklin Rd, Raleigh, NC 27606, USA",Raleigh,119,4.9,North Carolina
Aceline Roofing - Raleigh Roof Repair & Replacement,(919) 389-9571,http://www.acelineroofing.com/,"203 Ashton Hall Ln, Raleigh, NC 27609, USA",Raleigh,106,5,North Carolina
Pro Performance Roofing LLC,(919) 241-7663,https://properformanceroofing.com/,"4417 Thistlehill Ct, Raleigh, NC 27616, USA",Raleigh,179,5,North Carolina
Dana Dean Roofing Company,(919) 986-7686,http://www.danadeancoroofing.com/,"3605 Trawick Cir, Raleigh, NC 27604, USA",Raleigh,85,4.9,North Carolina
Lamar Homes Roofing,(984) 224-7182,https://www.lamarhomes.net/,"3700 Western Blvd, Raleigh, NC 27606, USA",Raleigh,168,4.9,North Carolina
G3 Roofing,(919) 213-6005,https://www.g3roof.com/,"3008 Anderson Dr Suite 210 C, Raleigh, NC 27609, USA",Raleigh,77,5,North Carolina
Mighty Dog Roofing of South Raleigh,(919) 849-3491,https://www.mightydogroofing.com/south-raleigh-nc/,"116 Rand Park Dr, Garner, NC 27529, USA",Raleigh,101,5,North Carolina
Recon Roofing & Construction,(919) 605-3224,https://reconroofing.com/,"2810 Yonkers Rd #1A, Raleigh, NC 27604, USA",Raleigh,36,4.9,North Carolina
Roof Stepper,(984) 274-5170,https://roofsteppers.com/,"4312 Wake Forest Rd Suite 2D-3, Raleigh, NC 27609, USA",Raleigh,103,5,North Carolina
"Guardian Roofing Of North Carolina, LLC",(919) 438-2664,https://www.yourguardianroofer.com/,"305 Shipwash Dr Ste 101, Garner, NC 27529, USA",Raleigh,176,4.9,North Carolina
Champion Roofing,(984) 983-4377,https://roofingraleighnc.net/,"205 Cedar St, Raleigh, NC 27604, USA",Raleigh,54,5,North Carolina
Rex Construction LLC,(919) 946-8100,http://rexconstructionllc.com/,"414 Fayetteville St #400, Raleigh, NC 27601, USA",Raleigh,105,4.9,North Carolina
"Housetop Roofing - Roof Replacement, Repair & Installation",(919) 571-0556,https://housetoproofing.com/,"4312 Wake Forest Rd B, Raleigh, NC 27609, USA",Raleigh,126,4.9,North Carolina
"HRP Construction, Inc",(919) 758-3380,https://hrp-roof.com/,"1800 Vintage Rd, Raleigh, NC 27610, USA",Raleigh,54,4.8,North Carolina
Wilson and Sons Roofing,(919) 787-3253,https://www.wilsonandsonsroofing.com/,"9626 Barton Creek Rd, Raleigh, NC 27615, USA",Raleigh,127,4.9,North Carolina
Bond Roofing,(919) 787-7979,http://www.bondroofs.com/,"4904 Craftsman Dr, Raleigh, NC 27609, USA",Raleigh,107,4.8,North Carolina
Raleigh Residential Exteriors,(919) 916-5599,http://raleighresidentialexteriors.com/,"3450 Tarheel Dr STE 101, Raleigh, NC 27609, USA",Raleigh,135,4.9,North Carolina
New Testament Roofing,(919) 500-5760,http://www.newtrfg.com/,"8601 Six Forks Rd Ste 400 #4569, Raleigh, NC 27615, USA",Raleigh,95,5,North Carolina
Roof Puppy LLC,(919) 612-7547,http://roofpuppy.com/,"1120 Renewal Pl, Raleigh, NC 27603, USA",Raleigh,43,5,North Carolina
"Summit Roofing of NC, LLC",(919) 457-1117,https://summitroofingnc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"2201 Candun Dr, Apex, NC 27523, USA",Raleigh,98,5,North Carolina
ERS Construction,(919) 626-9424,https://www.ers-construction.com/,"1818 St Albans Dr #103, Raleigh, NC 27609, USA",Raleigh,120,4.9,North Carolina
Metal Roof NC,(984) 289-2585,https://www.ncmetalroof.com/,"5301 Hillsborough St, Raleigh, NC 27606, USA",Raleigh,86,4.8,North Carolina
Roof Revivers,(919) 794-5754,https://roofrevivers.com/raleigh/,"1117 Corporation Pkwy # 106, Raleigh, NC 27610, USA",Raleigh,52,4.8,North Carolina
Trident Roofing Pro’s,(984) 351-4276,http://calltridentroofingpros.com/,"One Glenwood Ave, Raleigh, NC 27603, USA",Raleigh,47,5,North Carolina
V.C. Veterans Contracting,(919) 726-7663,https://veteranscontractingllc.com/raleigh-nc/,"1325 Kirkland Rd Suite 109, Raleigh, NC 27603, USA",Raleigh,74,5,North Carolina
Weatherguard Roofing & Restoration,(984) 370-8474,https://wgrestoration.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-primary-ra-link,"4509 Creedmoor Rd, Raleigh, NC 27612, USA",Raleigh,113,4.7,North Carolina
Red Letter Roofing,(919) 977-5318,https://redletterroofing.com/?utm_source=next&utm_medium=Google_website,"1316 Bobbitt Dr, Garner, NC 27529, USA",Raleigh,80,5,North Carolina
Regal Roofing,(984) 300-4053,https://regrs.com/areas-served/raleigh/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB_Raleigh,"8805 Midway West Rd, Raleigh, NC 27617, USA",Raleigh,69,4.9,North Carolina
Local Quality Roofing LLC,(919) 348-6803,https://localqualityroofing.com/,"307 Fieldtrial Cir, Garner, NC 27529, USA",Raleigh,70,4.8,North Carolina
Escalade Roofing,(336) 420-4498,http://www.escaladeroofing.com/,"325 W J J Dr, Greensboro, NC 27406, USA",Greensboro,186,5,North Carolina
